1767983148,Spears,Britney,P1,Civilian,0,1,0
1767990210,Britney,Spears,P1,Civilian,44,2,1
1767990524,Britney,Spears,P1,Civilian,46,2,0
1767990524,Britney,Spears,P1,Civilian,48,4,0
1767990524,Britney,Spears,P2,Civilian,39,0,3
1767990524,Britney,Spears,P1,Civilian,35,1,0
1767990525,Britney,Spears,P1,Civilian,45,2,1
1767990525,Spears,Britney,P1,Civilian,37,5,2
1767990525,Spears,Britney,P2,Civilian,42,0,1
1767990525,Spears,Britney,P2,Civilian,30,1,2
1767990526,Spears,Britney,Tie,Civilian,30,1,1
1767990526,Spears,Britney,P2,Civilian,40,1,2
1767990617,Britney,Spears,Tie,Civilian,41,0,0
1767990617,Britney,Spears,P1,Civilian,34,3,2
1767990618,Britney,Spears,Tie,Civilian,37,1,1
1767990618,Britney,Spears,P2,Civilian,26,0,3
1767990618,Britney,Spears,P2,Civilian,40,1,3
1767990618,Britney,Spears,P2,Civilian,29,0,3
1767990619,Britney,Spears,P2,Civilian,40,2,3
1767990619,Britney,Spears,P2,Civilian,39,2,3
1767990619,Britney,Spears,Tie,Civilian,30,1,1
1767990619,Britney,Spears,P1,Civilian,35,1,0
1767990620,Spears,Britney,P2,Civilian,34,1,2
1767990620,Spears,Britney,Tie,Civilian,43,0,0
1767990620,Spears,Britney,P1,Civilian,38,3,0
1767990620,Spears,Britney,P2,Civilian,43,0,1
1767990621,Spears,Britney,P1,Civilian,32,1,0
1767990621,Spears,Britney,P1,Civilian,38,3,1
1767990621,Spears,Britney,P2,Civilian,40,1,2
1767990621,Spears,Britney,P1,Civilian,30,2,1
1767990622,Spears,Britney,Tie,Civilian,35,2,2
1767990622,Spears,Britney,P1,Civilian,34,3,0
1767990746,Britney,Spears,P1,Civilian,37,2,0
1767990746,Britney,Spears,Tie,Civilian,39,2,2
1767990746,Britney,Spears,Tie,Civilian,34,0,0
1767990746,Britney,Spears,P2,Civilian,50,2,4
1767990747,Britney,Spears,P1,Civilian,34,2,1
1767990747,Britney,Spears,Tie,Civilian,34,1,1
1767990747,Britney,Spears,P1,Civilian,30,2,1
1767990747,Britney,Spears,P2,Civilian,45,1,3
1767990748,Britney,Spears,P1,Civilian,36,1,0
1767990748,Britney,Spears,P1,Civilian,42,2,1
1767990748,Spears,Britney,P2,Civilian,29,0,1
1767990748,Spears,Britney,P2,Civilian,48,1,2
1767990749,Spears,Britney,P1,Civilian,33,2,0
1767990749,Spears,Britney,P1,Civilian,30,3,2
1767990749,Spears,Britney,P2,Civilian,37,0,2
1767990749,Spears,Britney,Tie,Civilian,33,2,2
1767990750,Spears,Britney,P1,Civilian,39,5,0
1767990750,Spears,Britney,P1,Civilian,39,4,0
1767990750,Spears,Britney,P2,Civilian,34,1,3
1767990750,Spears,Britney,P1,Civilian,39,3,1
1767990883,Britney,Spears,P1,Civilian,34,2,0
1767990883,Britney,Spears,P1,Civilian,44,2,1
1767990883,Britney,Spears,P1,Civilian,44,2,1
1767990883,Britney,Spears,P2,Civilian,36,0,1
1767990884,Britney,Spears,P2,Civilian,40,0,2
1767990884,Spears,Britney,P2,Civilian,42,1,3
1767990884,Spears,Britney,P2,Civilian,36,0,1
1767990884,Spears,Britney,Tie,Civilian,44,2,2
1767990885,Spears,Britney,P1,Civilian,38,2,0
1767990885,Spears,Britney,P1,Civilian,38,3,2
1767992518,Britney,Spears,P1,Civilian,41,2,1
1767992519,Britney,Spears,P1,Civilian,37,3,0
1767992519,Britney,Spears,Tie,Civilian,42,1,1
1767992519,Britney,Spears,P1,Civilian,30,2,0
1767992519,Britney,Spears,Tie,Civilian,34,1,1
1767992520,Britney,Spears,P1,Civilian,43,2,1
1767992520,Britney,Spears,P1,Civilian,44,3,1
1767992520,Britney,Spears,P1,Civilian,46,2,1
1767992520,Britney,Spears,P2,Civilian,33,0,2
1767992521,Britney,Spears,P1,Civilian,46,2,0
1767992521,Britney,Spears,Tie,Civilian,43,1,1
1767992521,Britney,Spears,P2,Civilian,35,0,1
1767992521,Britney,Spears,Tie,Civilian,38,0,0
1767992522,Britney,Spears,P1,Civilian,28,1,0
1767992522,Britney,Spears,Tie,Civilian,37,2,2
1767992522,Britney,Spears,Tie,Civilian,42,0,0
1767992522,Britney,Spears,P2,Civilian,47,1,3
1767992523,Britney,Spears,P1,Civilian,28,1,0
1767992523,Britney,Spears,P2,Civilian,42,1,4
1767992523,Britney,Spears,P2,Civilian,39,1,3
1767992523,Britney,Spears,P2,Civilian,41,2,3
1767992524,Britney,Spears,Tie,Civilian,44,1,1
1767992524,Britney,Spears,P1,Civilian,44,4,3
1767992524,Britney,Spears,P1,Civilian,39,1,0
1767992524,Britney,Spears,Tie,Civilian,37,1,1
1767992525,Britney,Spears,P2,Civilian,36,1,3
1767992525,Britney,Spears,P1,Civilian,36,2,1
1767992525,Britney,Spears,P2,Civilian,32,1,2
1767992525,Britney,Spears,P1,Civilian,32,2,1
1767992526,Britney,Spears,P2,Civilian,34,0,1
1767992526,Britney,Spears,P2,Civilian,39,1,3
